;;;;;;
NombreCiclo;Codigo;Asignatura;Tipo;Docente;Ciclo;Seccion
X;SI-081;TALLER DE TESIS II - TRABAJO DE INVESTIGACION;Obligatorio;MSC. LUIS ALFREDO FERNANDEZ VIZCARRA;X;A
;SI-082;SEGURIDAD DE TECNOLOGIA DE LA INFORMACION;Obligatorio;DR. RENZO ALBERTO TACO COAYLA;X;A
;SI-083;CONSTRUCCION DE SOFTWARE II;Obligatorio;MAG. RICARDO EDUARDO VALCARCEL ALVARADO;X;A
;SI-084;AUDITORIA DE SISTEMAS;Obligatorio;DR. OSCAR JUAN JIMENEZ FLORES;X;A
;SI-085;TALLER DE LIDERAZGO Y EMPRENDIMIENTO;Obligatorio;MTRA. LILIANA MERCEDES MILAGROS VEGA BERNAL;X;A
;SI-086;GERENCIA DE TECNOLOGIAS DE LA INFORMACION;Obligatorio;MAG. RICARDO EDUARDO VALCARCEL ALVARADO;X;A
;SI-087;INFRAESTRUCTURA DE TI;Electivo;MTRO. HUGO MARTIN ALCANTARA MARTINEZ;X;A
;SI-088;MODELO DE NEGOCIOS DIGITALES ;Electivo;;X;
;SI-089;TOPICOS DE BASE DE DATOS AVANZADOS II;Electivo;;X;
;;;;;;
I;EG-181;COMUNICACION I;Obligatorio;;I;
I;EG-182;MATEMATICA BASICA;Obligatorio;;I;
I;EG-183;ESTRATEGIAS PARA EL APRENDIZAJE AUTONOMO;Obligatorio;;I;
I;EG-184;DESARROLLO PERSONAL Y LIDERAZGO;Obligatorio;;I;
I;EG-185;DESARROLLO DE COMPETENCIAS DIGITALES;Obligatorio;MTRA. GUADALUPE CHOQUE CHOQUE;I;C
;EG-185;DESARROLLO DE COMPETENCIAS DIGITALES;Obligatorio;MTRO. ALDANA SALGADO, GENYFER;I;E
I;INE-186;MATEMATICA I;Obligatorio;;I;
;;;;;;
II;EG-281;COMUNICACION II;Obligatorio;;II;
;EG-282;TERRITORIO PERUANO DEFENSA Y SEGURIDAD NACIONAL;Obligatorio;;II;
II;EG-283;FILOSOFIA;Obligatorio;;II;
;INE-284;TECNICAS DE PROGRAMACION;Obligatorio;MAG. EDWIN SAUL VALENCIA CUTIPA;II;C
;INE-284;TECNICAS DE PROGRAMACION;Obligatorio;MTRO. JUAN CHOQUE FLORES;II;D
;INE-285;FISICA I;Obligatorio;;II;
II;INE-286;MATEMATICA II;Obligatorio;;II;
;;;;;;
III;INE-381;ECONOMIA;Obligatorio;MAG.  DAVID GONZALO RUBIRA OTAROLA;III;A
III;EG-382;ETICA ;Obligatorio;MAG.  ANABELL CRISOSTO FUSTER;III;A
III;INE-383;ESTADISTICA Y PROBABILIDADES;Obligatorio;MAG.  JUAN CARLOS ROMAINA FLORES;III;A
;INE-383;ESTADISTICA Y PROBABILIDADES;Obligatorio;MAG.  JUAN CARLOS ROMAINA FLORES;III;B
III;SI-384;ESTRUCTURA DE DATOS;Obligatorio;MTRA. HAYDEE RAQUEL SISA YATACO;III;A
;SI-384;ESTRUCTURA DE DATOS;Obligatorio;MTRO. ISRAEL CHAPARRO CRUZ;III;B
III;SI-385;SISTEMAS DE INFORMACION;Obligatorio;MTRA. LILIANA MERCEDES MILAGROS VEGA BERNAL;III;A
;SI-386;MATEMATICA DISCRETA;Obligatorio;MSC. SILVIA MARLENE CENTELLA VILDOSO;III;A
III;SI-386;MATEMATICA DISCRETA;Obligatorio;MSC. SILVIA MARLENE CENTELLA VILDOSO;III;B
;;;;;;
IV;SI-481;MODELAMIENTO DE PROCESOS ;Obligatorio;MAG. ELARD RICARDO RODRIGUEZ MARCA;IV;A
;SI-481;MODELAMIENTO DE PROCESOS ;Obligatorio;ING. NATIVIDAD QUISPE CACERES;IV;B
IV;SI-482;INGENIERIA ECONOMICA Y FINANCIERA;Obligatorio;MTRA. LILIANA MERCEDES MILAGROS VEGA BERNAL;IV;A
IV;SI-483;INTERACCION Y DISEÑO DE INTERFACES;Obligatorio;MTRO. TITO FERNANDO ALE NIETO;IV;A
IV;INE-484;DISEÑO EN INGENIERÍA;Obligatorio;MAG.  ELIZABETH MERMA SORIA;IV;A
IV;SI-485;SISTEMAS ELECTRONICOS DIGITALES ;Obligatorio;MAG. ALEX JUAN YANQUI CONSTANCIO;IV;A
;SI-485;SISTEMAS ELECTRONICOS DIGITALES ;Obligatorio;MAG. ALEX JUAN YANQUI CONSTANCIO;IV;B
;SI-486;PROGRAMACION I ;Obligatorio;MTRO. ISRAEL CHAPARRO CRUZ;IV;A
IV;SI-486;PROGRAMACION I ;Obligatorio;MAG. EDWIN SAUL VALENCIA CUTIPA;IV;B
;;;;;;
V;SI-581;ARQUITECTURA DE COMPUTADORAS;Obligatorio;MAG. ALEX JUAN YANQUI CONSTANCIO;V;A
;SI-581;ARQUITECTURA DE COMPUTADORAS;Obligatorio;MAG. ALEX JUAN YANQUI CONSTANCIO;V;B
V;SI-582;DISEÑO DE BASE DE DATOS ;Obligatorio;MTRA. HAYDEE RAQUEL SISA YATACO;V;A
;SI-582;DISEÑO DE BASE DE DATOS ;Obligatorio;MAG. EDWIN SAUL VALENCIA CUTIPA;V;B
V;SI-583;DISEÑO Y MODELAMIENTO VIRTUAL ;Obligatorio;MTRA. HAYDEE RAQUEL SISA YATACO;V;A
;SI-583;DISEÑO Y MODELAMIENTO VIRTUAL ;Obligatorio;MTRA. HAYDEE RAQUEL SISA YATACO;V;A
V;SI-584;INGENIERIA DE REQUERIMIENTOS ;Obligatorio;DRA. MARIELLA ROSARIO IBARRA MONTECINOS;V;A
;SI-584;INGENIERIA DE REQUERIMIENTOS ;Obligatorio;MTRO. JUAN CHOQUE FLORES;V;B
V;SI-585;INGENIERIA DE SOFTWARE;Obligatorio;DRA. MARTHA JUDITH PAREDES VIGNOLA;V;A
;SI-585;INGENIERIA DE SOFTWARE;Obligatorio;MTRA. LILIANA MERCEDES MILAGROS VEGA BERNAL;V;B
;SI-586;PROGRAMACION II;Obligatorio;MTRO. ENRIQUE FELIX LANCHIPA VALENCIA;V;A
V;SI-586;PROGRAMACION II;Obligatorio;ING. NATIVIDAD QUISPE CACERES;V;B
;;;;;;
VI;EG-681;ECOLOGIA Y DESARROLLO SOSTENIBLE;Obligatorio;MTRA. TERESA LANCHIPA ALE;VI;A
VI;SI-682;SISTEMAS OPERATIVOS I ;Obligatorio;DR. RENZO ALBERTO TACO COAYLA;VI;A
VI;SI-683;BASE DE DATOS I ;Obligatorio;MTRO. ENRIQUE FELIX LANCHIPA VALENCIA;VI;A
VI;SI-684;INVESTIGACION DE OPERACIONES ;Obligatorio;MSC. SILVIA MARLENE CENTELLA VILDOSO;VI;A
VI;SI-685;DISEÑO Y ARQUITECTURA DE SOFTWARE;Obligatorio;MTRO. ALBERTO FLOR RODRIGUEZ;VI;A
;SI-686;PROGRAMACION III;Obligatorio;MAG. ELARD RICARDO RODRIGUEZ MARCA;VI;A
;;;;;;
VII;EG-781;PROBLEMAS Y DESAFÍOS DEL PERÚ EN UN MUNDO GLOBLAL;Obligatorio;MTRO. CARLOS NUÑEZ CARRASCO;VII;A
;SI-782;SISTEMAS OPERATIVOS II;Obligatorio;DR. RENZO ALBERTO TACO COAYLA;VII;A
;SI-783;BASE DE DATOS II;Obligatorio;MTRO. JUAN CHOQUE FLORES;VII;A
;SI-784;CALIDAD Y PRUEBAS DE SOFTWARE;Obligatorio;MAG. PATRICK JOSE CUADROS QUIROGA;VII;A
;SI-785;GESTION DE PROYECTOS DE TI;Obligatorio;DRA. MARTHA JUDITH PAREDES VIGNOLA;VII;A
;SI-786;PROGRAMACION WEB I ;Electivo;MTRO. TITO FERNANDO ALE NIETO;VII;A
;;;;;;
VIII;SI-881;INTELIGENCIA ARTIFICIAL;Obligatorio;MTRO. ISRAEL CHAPARRO CRUZ;VIII;A
;SI-882;REDES Y COMUNICACIONES DE DATOS I;Obligatorio;MTRO. HUGO MARTIN ALCANTARA MARTINEZ;VIII;A
;SI-883;SOLUCIONES MOVILES I;Obligatorio;MAG. ELARD RICARDO RODRIGUEZ MARCA;VIII;A
;SI-884;ESTADISTICA INFERENCIAL Y ANALISIS DE DATOS ;Obligatorio;MSC. LUIS ALFREDO FERNANDEZ VIZCARRA;VIII;A
;SI-885;INTELIGENCIA DE NEGOCIOS ;Obligatorio;MAG. PATRICK JOSE CUADROS QUIROGA;VIII;A
;SI-886;PLANEAMIENTO ESTRATÉGICO DE TI ;Electivo;DR. OSCAR JUAN JIMENEZ FLORES;VIII;A
;SI-887;INTERNET DE LAS COSAS ;Electivo;;VIII;
;SI-888;DISEÑO Y CREACION DE VIDEOJUEGOS;Electivo;;VIII;
;SI-889;PATRONES DE SOFTWARE;Electivo;MAG. PATRICK JOSE CUADROS QUIROGA;VIII;A
;SI-8810;SISTEMAS DE RECURSOS EMPRESARIALES;Electivo;;VIII;
;SI-8811;TOPICOS DE BASE DE DATOS AVANZADOS I;Electivo;;VIII;
;;;;;;
IX;SI-981;TALLER DE TESIS I;Obligatorio;MSC. LUIS ALFREDO FERNANDEZ VIZCARRA;IX;A
;SI-982;PROGRAMACION WEB II;Obligatorio;MTRO. ENRIQUE FELIX LANCHIPA VALENCIA;IX;A
;SI-983;CONSTRUCCION DE SOFTWARE I ;Obligatorio;MAG. RICARDO EDUARDO VALCARCEL ALVARADO;IX;A
;SI-983;CONSTRUCCION DE SOFTWARE I ;Obligatorio;MTRO. ALBERTO FLOR RODRIGUEZ;IX;B
;SI-984;REDES Y COMUNICACION DE DATOS II;Obligatorio;MTRO. HUGO MARTIN ALCANTARA MARTINEZ;IX;A
;SI-985;GESTION DE LA CONFIGURACION DE SOFTWARE;Obligatorio;MAG. RICARDO EDUARDO VALCARCEL ALVARADO;IX;A
;SI-986;INGLES TECNICO;Obligatorio;MAG. NILDA BERTHA GARCIA CASTRO;IX;A
;SI-987;CLOUD COMPUTING ;Electivo; ;IX;A
;SI-988;SOLUCIONES MOVILES II;Electivo;DR. OSCAR JUAN JIMENEZ FLORES;IX;A
